"ASX code","Company name","GICs industry group","Listing date","Market Cap"
"ENT","ENTERPRISE METALS LIMITED","Materials","20/06/2007",2917884
"ENV","ENOVA MINING LIMITED","Materials","13/04/2007",2345576
"ENX","ENEGEX LIMITED","Materials","08/10/2013",7009404
"EOF","ECOFIBRE LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","29/03/2019",71588983
"EOL","ENERGY ONE LIMITED","Software & Services","15/01/2007",86546888
"EOS","ELECTRO OPTIC SYSTEMS HOLDINGS LIMITED","Capital Goods","23/10/2000",135276445
"EP1","E&P FINANCIAL GROUP LIMITED","Financial Services","14/05/2018",95072036
"EPM","ECLIPSE METALS LIMITED.","Energy","17/02/2011",28392837
"EPN","EPSILON HEALTHCARE LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","04/05/2017",6007080
"EPX","EP&T GLOBAL LIMITED","Software & Services","12/05/2021",9364188
"EPY","EARLYPAY LTD","Financial Services","23/02/2010",50737521
"EQE","EQUUS MINING LIMITED","Materials","12/12/1995","SUSPENDED"
"EQN","EQUINOX RESOURCES LIMITED.","Materials","13/10/2021",11460000
"EQR","EQ RESOURCES LIMITED","Materials","06/06/2006",101394599
"EQS","EQUITY STORY GROUP LTD","Financial Services","03/05/2022",4493725
"EQT","EQT HOLDINGS LIMITED","Financial Services","06/08/1985",689153374
"EQX","EQUATORIAL RESOURCES LIMITED","Materials","14/05/1987",20780983
"ERA","ENERGY RESOURCES OF AUSTRALIA LIMITED","Energy","19/11/1980",642300676
"ERD","EROAD LIMITED","Technology Hardware & Equipment","18/09/2020",128163160
"ERG","ENECO REFRESH LTD","Food, Beverage & Tobacco","29/03/2006",4630092
"ERL","EMPIRE RESOURCES LIMITED","Materials","01/02/2007",4451740
"ERM","EMMERSON RESOURCES LIMITED","Materials","17/12/2007",32137877
"ERW","ERRAWARRA RESOURCES LTD","Materials","14/12/2020",11495760
"ESK","ETHERSTACK PLC","Software & Services","07/09/2012",48729741
"ESR","ESTRELLA RESOURCES LIMITED","Materials","09/05/2012",13352147
"ESS","ESSENTIAL METALS LIMITED","Materials","04/12/2003",107026678
"ETM","ENERGY TRANSITION MINERALS LTD","Materials","20/06/2006",51518272
"ETR","ENTYR LIMITED","Commercial & Professional Services","02/11/2006",20806273
"EUR","EUROPEAN LITHIUM LIMITED","Materials","02/12/2010",148923918
"EV1","EVOLUTION ENERGY MINERALS LIMITED","Materials","16/11/2021",36450000
"EVE","EVE HEALTH GROUP LIMITED.","Financial Services","08/04/2004",5274483
"EVG","EVION GROUP NL","Materials","19/01/2018",13523460
"EVN","EVOLUTION MINING LIMITED","Materials","20/08/2002",6147304669
"EVR","EV RESOURCES LTD","Materials","07/12/1994",12167793
"EVS","ENVIROSUITE LIMITED","Software & Services","11/02/2008",107236003
"EVT","EVT LIMITED","Media & Entertainment","30/06/1962",1926252845
"EVZ","EVZ LIMITED","Capital Goods","26/04/1985",17490178
"EWC","ENERGY WORLD CORPORATION LTD","Utilities","08/12/1988","SUSPENDED"
"EX1","EXOPHARM LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","18/12/2018",3954808
"EXL","ELIXINOL WELLNESS LIMITED","Household & Personal Products","08/01/2018",6397879
"EXP","EXPERIENCE CO LIMITED","Consumer Services","27/03/2015",173420786
"EXR","ELIXIR ENERGY LIMITED","Energy","19/07/2004",78469609
"EYE","NOVA EYE MEDICAL LIMITED","Health Care Equipment & Services","12/10/1987",54243450
"EZL","EUROZ HARTLEYS GROUP LIMITED","Financial Services","02/08/1971",178344441
"EZZ","EZZ LIFE SCIENCE HOLDINGS LIMITED","Consumer Discretionary Distribution & Retail","03/03/2021",22847175
"FAL","FALCON METALS LTD","Materials","22/12/2021",38055000
"FAR","FAR LIMITED","Energy","23/01/1986",75475751
"FAU","FIRST AU LIMITED","Materials","01/01/1970",2903987
"FBM","FUTURE BATTERY MINERALS LIMITED","Materials","01/09/2011",51341416
"FBR","FBR LTD","Capital Goods","08/02/2001",99060254
"FBU","FLETCHER BUILDING LIMITED","Capital Goods","26/03/2001",3750778825
"FCL","FINEOS CORPORATION HOLDINGS PLC","Software & Services","16/08/2019",704892485
"FCT","FIRSTWAVE CLOUD TECHNOLOGY LIMITED","Software & Services","11/05/2011",69839569
"FDR","FINDER ENERGY HOLDINGS LIMITED","Energy","08/04/2022",11812500
"FDV","FRONTIER DIGITAL VENTURES LIMITED","Media & Entertainment","26/08/2016",138620375
"FEG","FAR EAST GOLD LTD","Materials","28/03/2022",65558218
"FEX","FENIX RESOURCES LTD","Materials","04/08/2008",146040480
"FFF","FORBIDDEN FOODS LIMITED","Food, Beverage & Tobacco","31/08/2020",2200958
"FFG","FATFISH GROUP LIMITED","Financial Services","23/11/1995",15234784
"FFI","FFI HOLDINGS LIMITED","Food, Beverage & Tobacco","15/01/1987",38952529
"FFT","FUTURE FIRST TECHNOLOGIES LTD","Commercial & Professional Services","02/12/2013",12152222
"FFX","FIREFINCH LIMITED","Materials","06/12/2006","SUSPENDED"
"FG1","FLYNN GOLD LIMITED","Materials","17/06/2021",8153744
"FGG","FUTURE GENERATION GLOBAL LIMITED","Not Applic","10/09/2015",447811595
"FGL","FRUGL GROUP LIMITED","Software & Services","10/08/2004",10516682
"FGR","FIRST GRAPHENE LIMITED","Materials","08/08/1994",39543754
"FGX","FUTURE GENERATION AUSTRALIA LIMITED","Not Applic","06/03/1997",434488746
"FHE","FRONTIER ENERGY LIMITED","Materials","18/12/2009",119599043
"FHS","FREEHILL MINING LIMITED.","Materials","16/01/2017","SUSPENDED"
"FID","FIDUCIAN GROUP LIMITED","Financial Services","09/02/2015",180052004
"FIN","FIN RESOURCES LIMITED","Materials","02/11/1989",8040960
"FLC","FLUENCE CORPORATION LIMITED","Capital Goods","18/12/2007",97583105
"FLN","FREELANCER LIMITED","Commercial & Professional Services","15/11/2013",85827638
"FLT","FLIGHT CENTRE TRAVEL GROUP LIMITED","Consumer Services","01/12/1995",4049143375
"FLX","FELIX GROUP HOLDINGS LTD","Software & Services","12/01/2021",18022767
"FME","FUTURE METALS NL","Energy","16/08/2007",14462141
"FMG","FORTESCUE METALS GROUP LTD","Materials","19/03/1987",65705111350
"FML","FOCUS MINERALS LTD","Materials","13/09/2000",48714970
"FMS","FLINDERS MINES LIMITED","Materials","20/02/2002",70916402
"FND","FINDI LIMITED","Software & Services","08/08/2001",16224082
"FNX","FINEXIA FINANCIAL GROUP LIMITED","Financial Services","21/12/2006",11271911
"FOR","FORAGER AUSTRALIAN SHARES FUND","Not Applic","16/12/2016",120614527
"FOS","FOS CAPITAL LTD","Capital Goods","07/06/2021",9147044
"FPC","FAT PROPHETS GLOBAL CONTRARIAN FUND LTD","Not Applic","22/03/2017",24142509
"FPH","FISHER & PAYKEL HEALTHCARE CORPORATION LIMITED","Health Care Equipment & Services","21/11/2001",12601766539
"FPP","FAT PROPHETS GLOBAL PROPERTY FUND","Not Applic","10/10/2017",14263572
"FPR","FLEETPARTNERS GROUP LIMITED","Financial Services","22/04/2015",659043126
"FRB","FIREBIRD METALS LIMITED","Materials","18/03/2021",6649825
"FRE","FIREBRICK PHARMA LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","28/01/2022",26437010
"FRI","FINBAR GROUP LIMITED","Real Estate Management & Development","05/08/1994",179601274
"FRM","FARM PRIDE FOODS LIMITED","Food, Beverage & Tobacco","19/12/1997",17262943
"FRS","FORRESTANIA RESOURCES LIMITED","Materials","30/09/2021",7087079
"FRX","FLEXIROAM LIMITED","Telecommunication Services","16/06/2015",25216485
"FSA","FSA GROUP LIMITED","Financial Services","11/01/2001",118666719
"FSF","FONTERRA SHAREHOLDERS' FUND","Food, Beverage & Tobacco","30/11/2012",345863372
"FSG","FIELD SOLUTIONS HOLDINGS LIMITED","Telecommunication Services","26/04/2005",34368372
"FSI","FLAGSHIP INVESTMENTS LIMITED","Not Applic","20/12/2000",42793770
"FTC","FINTECH CHAIN LIMITED","Financial Services","27/11/2012",11063083
"FTL","FIRETAIL RESOURCES LIMITED","Materials","13/04/2022",9240000
"FTZ","FERTOZ LIMITED","Materials","02/09/2013",28270164
"FWD","FLEETWOOD LIMITED","Consumer Durables & Apparel","15/04/1987",202711845
"FXG","FELIX GOLD LIMITED","Materials","31/01/2022",14986133
"FYI","FYI RESOURCES LIMITED","Materials","20/01/1994",34819171
"FZR","FITZROY RIVER CORPORATION LTD","Energy","04/03/1998",18891994
"G1A","GALENA MINING LIMITED","Materials","07/09/2017",79019712
"G50","GOLD 50 LIMITED","Materials","06/08/2021",18900375
"G6M","GROUP 6 METALS LIMITED","Materials","21/09/1967",121738273
"G88","GOLDEN MILE RESOURCES LTD","Materials","19/06/2017",15810696
"GAL","GALILEO MINING LTD","Materials","29/05/2018",110669959
"GAP","GALE PACIFIC LIMITED","Consumer Durables & Apparel","14/12/2000",51132713
"GAS","STATE GAS LIMITED","Energy","10/10/2017",37097330
"GBE","GLOBE METALS & MINING LIMITED","Materials","09/12/2005",26351972
"GBR","GREAT BOULDER RESOURCES LIMITED","Materials","18/11/2016",36810761
"GBZ","GBM RESOURCES LIMITED","Materials","24/10/2007",11703258
"GC1","GLENNON SMALL COMPANIES LIMITED","Not Applic","21/08/2015",24611514
"GCI","GRYPHON CAPITAL INCOME TRUST","Not Applic","25/05/2018",469302511
"GCM","GREEN CRITICAL MINERALS LIMITED","Materials","15/11/2007",14797179
"GCR","GOLDEN CROSS RESOURCES LTD","Materials","27/03/1996",2194512
"GCX","GCX METALS LIMITED","Energy","20/12/2012",5387582
"GCY","GASCOYNE RESOURCES LIMITED","Materials","11/12/2009",149092228
"GDA","GOOD DRINKS AUSTRALIA LTD","Food, Beverage & Tobacco","13/12/2006",67377621
"GDC","GLOBAL DATA CENTRE GROUP","Not Applic","31/10/2019",129045576
"GDF","GARDA PROPERTY GROUP","Equity Real Estate Investment Trusts (REITs)","02/07/2015",286831895
"GDG","GENERATION DEVELOPMENT GROUP LIMITED","Insurance","11/12/2007",234127788
"GDI","GDI PROPERTY GROUP","Equity Real Estate Investment Trusts (REITs)","17/12/2013",353508921
"GED","GOLDEN DEEPS LIMITED.","Materials","04/12/1986",6931360
"GEM","G8 EDUCATION LIMITED","Consumer Services","05/12/2007",829743787
"GEN","GENMIN LIMITED","Materials","10/03/2021",60923237
"GES","GENESIS RESOURCES LIMITED","Materials","27/10/2009",3914206
"GFL","GLOBAL MASTERS FUND LIMITED","Not Applic","16/05/2006",26164508
"GFN","GEFEN INTERNATIONAL A.I. LTD","Software & Services","21/07/2021",1282799
"GGE","GRAND GULF ENERGY LIMITED","Energy","20/03/1998",20102964
"GGX","GAS2GRID LIMITED","Energy","13/05/2005",8178204
"GHY","GOLD HYDROGEN LIMITED","Energy","13/01/2023",33600000
"GIB","GIBB RIVER DIAMONDS LIMITED","Materials","01/07/2008",8248868
"GL1","GLOBAL LITHIUM RESOURCES LIMITED","Materials","06/05/2021",389872557
"GLA","GLADIATOR RESOURCES LIMITED","Materials","27/06/2006",6007869
"GLB","GLOBE INTERNATIONAL LIMITED","Consumer Durables & Apparel","24/05/2001",87074018
"GLE","GLG CORP LTD","Consumer Durables & Apparel","14/12/2005",18154500
"GLH","GLOBAL HEALTH LIMITED","Health Care Equipment & Services","04/04/2000",6380372
"GLL","GALILEE ENERGY LIMITED","Energy","15/02/1996",33853750
"GLN","GALAN LITHIUM LIMITED","Materials","08/06/2011",299854710
"GLV","GLOBAL OIL & GAS LIMITED","Energy","25/05/2005",5571794
"GMD","GENESIS MINERALS LIMITED","Materials","02/08/2007",580248715
"GMG","GOODMAN GROUP","Equity Real Estate Investment Trusts (REITs)","02/02/2005",36866355110
"GML","GATEWAY MINING LIMITED","Materials","02/08/1971",9588008
"GMN","GOLD MOUNTAIN LIMITED","Materials","02/09/2011",11819596
"GMR","GOLDEN RIM RESOURCES LTD","Materials","13/08/1987",17156063
"GNC","GRAINCORP LIMITED","Consumer Staples Distribution & Retail","30/03/1998",1695987697
"GNE","GENESIS ENERGY LIMITED","Utilities","17/04/2014",2652527188
"GNG","GR ENGINEERING SERVICES LIMITED","Materials","19/04/2011",339291229
"GNM","GREAT NORTHERN MINERALS LIMITED","Materials","05/03/2008","--"
"GNP","GENUSPLUS GROUP LTD","Capital Goods","14/12/2020",195497443
"GNX","GENEX POWER LIMITED","Utilities","08/07/2015",228554228
"GO2","THE GO2 PEOPLE LTD","Commercial & Professional Services","31/10/2017","SUSPENDED"
"GOR","GOLD ROAD RESOURCES LIMITED","Materials","04/07/2006",1644592621
"GOW","GOWING BROS LIMITED","Financial Services","31/07/1962",137009591
"GOZ","GROWTHPOINT PROPERTIES AUSTRALIA","Equity Real Estate Investment Trusts (REITs)","04/07/2007",2079787716
"GPR","GEOPACIFIC RESOURCES LTD","Materials","09/05/2006",15602631
"GPS","GPS ALLIANCE HOLDINGS LIMITED","Real Estate Management & Development","02/07/2013","SUSPENDED"
"GPT","GPT GROUP","Equity Real Estate Investment Trusts (REITs)","01/04/1971",7796400140
"GQG","GQG PARTNERS INC.","Financial Services","26/10/2021",4001051363
"GRE","GREENTECH METALS LIMITED","Materials","04/01/2022",28662185
"GRL","GODOLPHIN RESOURCES LIMITED","Materials","18/12/2019",6747058
"GRR","GRANGE RESOURCES LIMITED.","Materials","27/03/1986",567095962
"GRV","GREENVALE ENERGY LTD","Energy","28/07/1971",41544695
"GRX","GREENX METALS LIMITED","Materials","06/09/1993",301133744
"GSM","GOLDEN STATE MINING LIMITED","Materials","08/11/2018",6780418
"GSN","GREAT SOUTHERN MINING LIMITED","Materials","14/04/2011",12157952
"GSR","GREENSTONE RESOURCES LIMITED","Materials","12/12/2000",20724061
"GSS","GENETIC SIGNATURES LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","31/03/2015",73137058
"GT1","GREEN TECHNOLOGY METALS LIMITED","Materials","10/11/2021",190540597
"GTE","GREAT WESTERN EXPLORATION LIMITED.","Materials","05/06/2007",10107925
"GTG","GENETIC TECHNOLOGIES LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","30/07/1987",28854145
"GTI","GRATIFII LIMITED","Software & Services","17/07/2008",19414840
"GTK","GENTRACK GROUP LIMITED","Software & Services","25/06/2014",383522797
"GTN","GTN LIMITED","Media & Entertainment","01/06/2016",91992142
"GTR","GTI ENERGY LTD","Materials","10/08/2007",13634279
"GUD","G.U.D. HOLDINGS LIMITED","Automobiles & Components","30/06/1962",1213103333
"GUL","GULLEWA LIMITED","Materials","19/06/1980",10963294
"GVF","GLOBAL VALUE FUND LIMITED","Not Applic","21/07/2014",195868515
"GW1","GREENWING RESOURCES LTD","Materials","20/10/2005",29232406
"GWA","GWA GROUP LIMITED.","Capital Goods","20/05/1993",434936385
"GWR","GWR GROUP LIMITED","Materials","24/12/2004",20557866
"H2G","GREENHY2 LIMITED","Commercial & Professional Services","04/12/1980",7537605
"HAL","HALO TECHNOLOGIES HOLDINGS LTD","Financial Services","26/04/2022",14891949
"HAR","HARANGA RESOURCES LIMITED.","Materials","27/01/2022",7515036
"HAS","HASTINGS TECHNOLOGY METALS LTD","Materials","20/02/2008",154485599
"HAV","HAVILAH RESOURCES LIMITED","Materials","21/03/2002",72827018
"HAW","HAWTHORN RESOURCES LIMITED","Materials","03/07/1986",48577264
"HCD","HYDROCARBON DYNAMICS LIMITED","Energy","21/04/2006",5197327
"HCF","H&G HIGH CONVICTION LIMITED","Not Applic","25/10/2022",23179971
"HCH","HOT CHILI LIMITED","Materials","03/05/2010",119445206
"HCT","HOLISTA COLLTECH LIMITED","Household & Personal Products","26/02/2004",3624401
"HCW","HEALTHCO HEALTHCARE AND WELLNESS REIT","Equity Real Estate Investment Trusts (REITs)","06/09/2021",737285685
"HDN","HOMECO DAILY NEEDS REIT","Equity Real Estate Investment Trusts (REITs)","23/11/2020",2375151675
"HE8","HELIOS ENERGY LTD","Energy","20/10/2010",190095609
"HFR","HIGHFIELD RESOURCES LIMITED","Materials","07/02/2012",194581108
"HFY","HUBIFY LIMITED","Telecommunication Services","12/01/2017",11411135
"HGH","HEARTLAND GROUP HOLDINGS LIMITED","Banks","01/11/2018",1075132173
"HGL","HUDSON INVESTMENT GROUP LIMITED","Real Estate Management & Development","09/06/1994",11871987
"HGO","HILLGROVE RESOURCES LIMITED","Materials","22/07/1994",108982348
"HGV","HYGROVEST LIMITED","Not Applic","22/01/2015",9674288
"HHR","HARTSHEAD RESOURCES NL","Energy","14/02/2012",67408371
"HIL","HILLS LIMITED","Technology Hardware & Equipment","30/06/1962","SUSPENDED"
"HIO","HAWSONS IRON LTD","Materials","14/11/2007",35843771
"HIQ","HITIQ LIMITED","Health Care Equipment & Services","16/06/2021",5869144
"HIT","HITECH GROUP AUSTRALIA LIMITED","Commercial & Professional Services","17/04/2000",73006000
"HLA","HEALTHIA LIMITED","Health Care Equipment & Services","11/09/2018",140191977
"HLI","HELIA GROUP LIMITED","Financial Services","20/05/2014",1059480649
"HLO","HELLOWORLD TRAVEL LIMITED","Consumer Services","13/09/2000",395321005
"HLS","HEALIUS LIMITED","Health Care Equipment & Services","03/07/1998",1776929572
"HLX","HELIX RESOURCES LIMITED","Materials","22/05/1986",13938875
"HM1","HEARTS AND MINDS INVESTMENTS LIMITED","Not Applic","14/11/2018",510229397
"HMC","HMC CAPITAL LIMITED","Equity Real Estate Investment Trusts (REITs)","14/10/2019",1668542678
"HMD","HERAMED LIMITED","Health Care Equipment & Services","12/12/2018",14802080
"HMG","HAMELIN GOLD LIMITED","Materials","05/11/2021",15487500
"HMI","HIREMII LIMITED","Commercial & Professional Services","11/05/2021",5276505
"HMX","HAMMER METALS LIMITED","Materials","25/02/2003",52784441
"HMY","HARMONEY CORP LIMITED","Financial Services","19/11/2020",33005566
"HNG","HANCOCK & GORE LTD","Capital Goods","24/08/1971",67608698
"HNR","HANNANS LTD","Materials","05/12/2003",37093160
"HOR","HORSESHOE METALS LIMITED","Materials","29/07/2010",9008701
"HPC","THE HYDRATION PHARMACEUTICALS COMPANY LIMITED","Household & Personal Products","14/12/2021",10187724
"HPG","HIPAGES GROUP HOLDINGS LTD","Media & Entertainment","12/11/2020",98501638
"HPI","HOTEL PROPERTY INVESTMENTS","Equity Real Estate Investment Trusts (REITs)","10/12/2013",600378311
"HPP","HEALTH AND PLANT PROTEIN GROUP LIMITED","Food, Beverage & Tobacco","14/12/1989",5772575
"HPR","HIGH PEAK ROYALTIES LIMITED","Energy","30/03/2007",12537384
"HRE","HEAVY RARE EARTHS LIMITED","Class Pend","24/08/2022",6417864
"HRN","HORIZON GOLD LIMITED","Materials","21/12/2016",41309942
"HRZ","HORIZON MINERALS LIMITED","Materials","06/02/1992",27182363
"HSN","HANSEN TECHNOLOGIES LIMITED","Software & Services","01/06/2000",1032034520
"HT8","HARRIS TECHNOLOGY GROUP LIMITED","Transportation","24/06/1999",3888761
"HTA","HUTCHISON TELECOMMUNICATIONS (AUSTRALIA) LIMITED","Telecommunication Services","17/08/1999",570045360
"HTG","HARVEST TECHNOLOGY GROUP LTD","Technology Hardware & Equipment","12/05/2016",20850041
"HTM","HIGH-TECH METALS LTD","Materials","23/01/2023",6403802
"HUB","HUB24 LIMITED","Financial Services","05/07/2007",2102760320
"HUM","HUMM GROUP LIMITED","Financial Services","12/12/2006",209240730
"HVM","HAPPY VALLEY NUTRITION LIMITED","Food, Beverage & Tobacco","23/01/2020",3198364
"HVN","HARVEY NORMAN HOLDINGS LIMITED","Consumer Discretionary Distribution & Retail","03/09/1987",3987221293
"HVY","HEAVY MINERALS LIMITED","Materials","14/09/2021",5926092
"HXG","HEXAGON ENERGY MATERIALS LIMITED","Materials","30/10/2008",5642075
"HXL","HEXIMA LIMITED.","Pharmaceuticals, Biotechnology & Life Sciences","01/12/2020",3507832
"HYD","HYDRIX LIMITED","Technology Hardware & Equipment","11/05/2001",6609690
"HYT","HYTERRA LTD","Energy","14/12/2005",9531949
"HZN","HORIZON OIL LIMITED","Energy","30/06/1981",224202015
"HZR","HAZER GROUP LIMITED","Materials","02/12/2015",111640652
"IAG","INSURANCE AUSTRALIA GROUP LIMITED","Insurance","08/08/2000",13577327980
"IAM","INCOME ASSET MANAGEMENT GROUP LIMITED.","Financial Services","14/01/1987",36402707
"IBC","IRONBARK CAPITAL LIMITED","Not Applic","02/04/1987",49403687
"IBG","IRONBARK ZINC LTD","Materials","16/08/2006",11734274
"IBX","IMAGION BIOSYSTEMS LIMITED","Health Care Equipment & Services","22/06/2017",15179655
"ICE","ICETANA LIMITED","Software & Services","23/12/2019",8969779
"ICG","INCA MINERALS LIMITED","Materials","19/06/2008",9670289
"ICI","ICANDY INTERACTIVE LIMITED","Media & Entertainment","04/02/2016",55030433
"ICL","ICENI GOLD LIMITED","Materials","14/04/2021",18145714
"ICN","ICON ENERGY LIMITED","Energy","22/09/1997",2304041
"ICR","INTELICARE HOLDINGS LIMITED","Health Care Equipment & Services","25/05/2020",2738033
"ID8","IDENTITII LIMITED","Software & Services","17/10/2018",6383954
"IDA","INDIANA RESOURCES LIMITED","Materials","17/07/1986",25512711
"IDT","IDT AUSTRALIA LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","18/02/1991",19195684
"IDX","INTEGRAL DIAGNOSTICS LIMITED","Health Care Equipment & Services","21/10/2015",755015120
"IEC","INTRA ENERGY CORPORATION LIMITED","Energy","04/07/2007",3528908
"IEL","IDP EDUCATION LIMITED","Consumer Services","26/11/2015",6014845520
"IEQ","INTERNATIONAL EQUITIES CORPORATION LIMITED.","Real Estate Management & Development","11/03/1993",4359602
"IFL","INSIGNIA FINANCIAL LTD","Financial Services","05/12/2003",1848649095
"IFM","INFOMEDIA LTD","Software & Services","16/08/2000",582469850
"IFT","INFRATIL LIMITED.","Utilities","30/08/2010",7346715455
"IG6","INTERNATIONAL GRAPHITE LIMITED","Capital Goods","07/04/2022",32205874
"IGL","IVE GROUP LIMITED","Media & Entertainment","16/12/2015",330048381
"IGN","IGNITE LIMITED","Commercial & Professional Services","16/01/1997",4479109
"IGO","IGO LIMITED","Materials","17/01/2002",11109118817
"IHL","INCANNEX HEALTHCARE LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","23/05/2007",158701036
"IIQ","INOVIQ LTD","Health Care Equipment & Services","18/04/1991",46009351
"IKE","IKEGPS GROUP LIMITED","Technology Hardware & Equipment","21/11/2016",115202910
"ILA","ISLAND PHARMACEUTICALS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","13/04/2021",8126847
"ILU","ILUKA RESOURCES LIMITED","Materials","30/06/1962",4754302915
"IMA","IMAGE RESOURCES NL","Materials","04/07/2002",94256751
"IMB","INTELLIGENT MONITORING GROUP LIMITED","Commercial & Professional Services","03/03/1994",31989413
"IMC","IMMURON LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","30/04/1999",15604187
"IMD","IMDEX LIMITED","Materials","24/09/1987",914872900
"IME","IMEXHS LIMITED","Health Care Equipment & Services","14/12/2005",24860418
"IMI","INFINITY MINING LIMITED","Materials","22/12/2021",13460639
"IMM","IMMUTEP LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","23/06/1988",319244930
"IMR","IMRICOR MEDICAL SYSTEMS INC.","Health Care Equipment & Services","30/08/2019",56194014
"IMU","IMUGENE LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","24/11/1993",545958324
"INA","INGENIA COMMUNITIES GROUP","Equity Real Estate Investment Trusts (REITs)","01/07/2004",1561043901
"IND","INDUSTRIAL MINERALS LTD","Materials","13/07/2021",42227500
"INF","INFINITY LITHIUM CORPORATION LIMITED","Materials","15/04/2011",44871433
"ING","INGHAMS GROUP LIMITED","Food, Beverage & Tobacco","07/11/2016",981234147
"INL","INNLANZ LIMITED","Consumer Discretionary Distribution & Retail","22/02/2019",8771381
"INP","INCENTIAPAY LIMITED","Media & Entertainment","09/09/2014",11385573
"INR","IONEER LTD","Materials","19/12/2007",681959937
"INV","INVESTSMART GROUP LIMITED","Financial Services","21/04/2005",25419456
"IOD","IODM LIMITED","Software & Services","18/11/2003",177962103
"IOU","IOUPAY LIMITED","Media & Entertainment","12/10/2000","SUSPENDED"
"IPB","IPB PETROLEUM LIMITED","Energy","30/04/2013",4520980
"IPC","IMPERIAL PACIFIC LIMITED","Financial Services","28/07/1971",6202776
"IPD","IMPEDIMED LIMITED","Health Care Equipment & Services","24/10/2007",332964749
"IPG","IPD GROUP LTD","Capital Goods","17/12/2021",373963905
"IPH","IPH LIMITED","Commercial & Professional Services","19/11/2014",1843617551
"IPL","INCITEC PIVOT LIMITED","Materials","28/07/2003",5205163078
"IPT","IMPACT MINERALS LIMITED","Materials","29/11/2006",39825854
"IPX","IPERIONX LIMITED","Materials","16/04/2018",206303419
"IR1","IRIS METALS LIMITED","Materials","23/09/2021",169533000
"IRD","IRON ROAD LIMITED","Materials","12/06/2008",63744426
"IRE","IRESS LIMITED","Software & Services","03/11/2000",1901516845
"IRI","INTEGRATED RESEARCH LIMITED","Software & Services","13/12/2000",62309048
"IRX","INHALERX LIMITED","Health Care Equipment & Services","11/01/2017",9108814
"IS3","I SYNERGY GROUP LIMITED","Software & Services","30/03/2017",2312643
"ITM","ITECH MINERALS LTD","Materials","21/10/2021",26269466
"IVC","INVOCARE LIMITED","Consumer Services","04/12/2003",1786353089
"IVO","INVIGOR GROUP LIMITED","Media & Entertainment","03/12/1999","SUSPENDED"
"IVR","INVESTIGATOR RESOURCES LTD","Materials","03/04/2007",68984161
"IVT","INVENTIS LIMITED","Commercial & Professional Services","14/04/1999",2446400
"IVX","INVION LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","15/02/2010",32108161
"IVZ","INVICTUS ENERGY LTD","Energy","19/01/2012",134944952
"IXC","INVEX THERAPEUTICS LTD","Pharmaceuticals, Biotechnology & Life Sciences","05/07/2019",39455770
"IXR","IONIC RARE EARTHS LIMITED","Materials","10/12/1999",90760413
"IXU","IXUP LIMITED","Software & Services","15/11/2017",54881112
"JAL","JAMESON RESOURCES LIMITED","Materials","18/12/2007",23882177
"JAN","JANISON EDUCATION GROUP LIMITED","Software & Services","12/09/2000",108203670
"JAT","JATCORP LIMITED","Consumer Discretionary Distribution & Retail","30/01/2008",24979518
"JAV","JAVELIN MINERALS LIMITED","Materials","09/10/2012",9454153
"JAY","JAYRIDE GROUP LIMITED","Transportation","29/01/2018",22400158
"JBH","JB HI-FI LIMITED","Consumer Discretionary Distribution & Retail","23/10/2003",4542826911
"JCS","JCURVE SOLUTIONS LTD","Software & Services","08/12/2000",12805394
"JDO","JUDO CAPITAL HOLDINGS LIMITED","Banks","01/11/2021",1205016660
"JGH","JADE GAS HOLDINGS LIMITED","Materials","13/02/1995",70921538
"JHG","JANUS HENDERSON GROUP PLC","Financial Services","27/10/2008",6873777307
"JHX","JAMES HARDIE INDUSTRIES PLC","Materials","15/10/2001",17098749374
"JIN","JUMBO INTERACTIVE LIMITED","Consumer Services","14/06/1972",870693297
"JLG","JOHNS LYNG GROUP LIMITED","Capital Goods","26/10/2017",1374440451
"JMS","JUPITER MINES LIMITED.","Materials","18/04/2018",401593162
"JNO","JUNO MINERALS LIMITED","Materials","14/05/2021",11189556
"JPR","JUPITER ENERGY LIMITED","Energy","12/11/2003",24597002
"JRL","JINDALEE RESOURCES LIMITED","Materials","11/07/2002",103855928
"JRV","JERVOIS GLOBAL LIMITED","Materials","01/12/1980",137268124
"JTL","JAYEX TECHNOLOGY LIMITED","Health Care Equipment & Services","17/12/2015",2531507
"JXT","JAXSTA LTD","Software & Services","21/09/2010",18460518
"JYC","JOYCE CORPORATION LTD","Consumer Discretionary Distribution & Retail","17/12/1986",70440970
"K2F","K2FLY LIMITED","Software & Services","19/02/2008",16654906
"KAI","KAIROS MINERALS LIMITED","Materials","30/05/1973",33389589
